Unicode,UTF-8,Description
U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,woman running
U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,man running
U+1F3C4,🏄,person surfing
U+1F3C4 U+1F3FB,🏄🏻,person surfing; light skin tone
U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F,🏄🏻‍♀️,woman surfing; light skin tone
U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F,🏄🏻‍♂️,man surfing; light skin tone
U+1F3C4 U+1F3FC,🏄🏼,person surfing; medium-light skin tone
U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F,🏄🏼‍♀️,woman surfing; medium-light skin tone
U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F,🏄🏼‍♂️,man surfing; medium-light skin tone
U+1F3C4 U+1F3FD,🏄🏽,person surfing; medium skin tone
U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F,🏄🏽‍♀️,woman surfing; medium skin tone
U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F,🏄🏽‍♂️,man surfing; medium skin tone
U+1F3C4 U+1F3FE,🏄🏾,person surfing; medium-dark skin tone
